ADD	thêm
share	chia sẻ
share	phần
sharp	nhọn
sharp	sắc nét
she	chị ấy
shed	rụng
sheet	tấm
shell	vỏ
shelter	nơi trú ẩn
shift	sự thay đổi
shift	sự thay đổi
shift	sự thay đổi
shine	ánh sáng
ship	tàu
ship	tàu
shirt	áo sơ mi
shiver	làm bể
shock	sốc
shoe	giày
shoot	bắn
shoot	bắn
shooting	chụp
shop	cửa tiệm
shop	cửa hàng
shopping	mua sắm
short	ngắn
short	ngắn
shortly	ngay
shot	bắn
shot	bắn
should	Nên
shoulder	vai
shout	kêu la
shout	kêu la
show	chỉ
show	chỉ
show	hiển thị
shrug	nhún vai
shut	đóng lại
shut	đóng
sick	đau ốm
sick	bệnh
side	bên
sigh	tiếng thở dài
sight	thị giác
sign	ký tên
sign	ký tên
sign	dấu
signal	tín hiệu
signal	tín hiệu
signal	tín hiệu
significant	có ý nghĩa
significant	đáng kể
significantly	đáng kể
silence	khoảng lặng
silent	im lặng
silly	ngớ ngẩn
silver	bạc
silver	bạc
similar	giống
similar	tương tự
similarly	tương tự
simple	đơn giản
simple	đơn giản
simply	đơn giản
since	kể từ
since	kể từ
sing	hát
sing	hát
singer	ca sĩ
single	Độc thân
single	đơn
sink	bồn rửa
sink	bồn rửa
sir	Ngài
sister	em gái
sit	ngồi
sit	ngồi
site	địa điểm
situate	đặt vị trí
situation	tình hình
six	sáu
size	kích thước
skill	kỹ năng
skin	da
sky	bầu trời
slam	tiếng đập cửa
slave	nô lệ
sleep	ngủ
sleep	ngủ
sleep	ngủ
slide	trượt
slide	trượt
slight	nhẹ
slightly	khinh bỉ
slip	trượt
slip	trượt
slow	chậm
slow	chậm
slow	chậm
slow	chậm
slowly	chậm rãi
small	nhỏ bé
small	nhỏ
smart	thông minh
smart	thông minh
smash	làm thất bại
smell	mùi
smell	mùi
smell	mùi
smile	nụ cười
smile	nụ cười
smile	nụ cười
smoke	hút thuốc lá
smoke	hút thuốc lá
smoke	khói
smooth	trơn tru
smooth	mịn
snap	chụp nhanh
snap	chụp
snow	tuyết
so	vì thế
so	vì thế
so-called	cái gọi là
social	xã hội
society	xã hội
soft	mềm mại
soft	mềm
software	phần mềm
soil	đất
solar	hệ mặt trời
soldier	lính
solid	chất rắn
solid	rắn
solution	dung dịch
solve	giải quyết
solve	giải quyết
some	một số
some	một số
somebody	có ai
somehow	bằng cách nào đó
someone	người nào
something	cái gì đó
sometimes	đôi khi
somewhat	phần nào
somewhere	một vài nơi
son	Con trai
song	bài hát
soon	Sớm
soon	Sớm
sorry	lấy làm tiếc
sorry	xin lỗi
sort	sắp xếp
sort	loại
soul	Linh hồn
sound	âm thanh
sound	âm thanh
sound	âm thanh
source	nguồn
south	miền Nam
south	nam
southern	phía Nam
southern	Nam
space	không gian
spare	phụ tùng
spare	thay thế
speak	nói
speak	nói
speaker	loa
special	đặc biệt
special	đặc biệt
specialist	chuyên gia
specialist	chuyên gia
species	loài
specific	riêng
specific	cụ thể
specifically	đặc biệt
specify	xác định
speech	phát biểu
speed	tốc độ
speed	tốc độ
spell	đánh vần
spend	tiêu
spend	tiêu
spending	chi tiêu
spill	làm đổ
spin	quay
spin	quay
spirit	tinh thần
spiritual	tinh thần
spiritual	tinh thần
split	phân chia
spoil	cướp bóc
spokesman	người phát ngôn
sponsor	nhà tài trợ
sport	môn thể thao
spot	nơi
spot	nơi
spot	đốm
spread	Lan tràn
spread	lan tràn
spring	mùa xuân
spring	mùa xuân
square	Quảng trường
square	vuông
squeeze	bóp
squeeze	ép
stable	ổn định
staff	cán bộ
stage	sân khấu
stage	sân khấu
stair	cầu thang
stake	cổ phần
stand	đứng
stand	đứng
stand	đứng
standard	Tiêu chuẩn
standard	Tiêu chuẩn
standard	tiêu chuẩn
star	ngôi sao
stare	nhìn chằm chằm
stare	nhìn chằm chằm
start	khởi đầu
start	khởi đầu
start	bắt đầu
state	tiểu bang
state	tiểu bang
statement	tuyên bố
station	ga tàu
statistics	số liệu thống kê
status	trạng thái
status	tình trạng
stay	ở lại
stay	ở lại
steady	vững chắc
steal	lấy trộm
steal	ăn cắp
steel	Thép
stem	thân cây
step	bậc thang
step	bậc thang
step	bước đi
stick	gậy
stick	gậy
stick	gậy
still	vẫn
still	vẫn
still	vẫn
stimulate	kích thích
stir	khuấy
stir	sự náo động
stock	cổ phần
stock	chứng khoán
stomach	Dạ dày
stone	Cục đá
stop	dừng lại
stop	dừng lại
stop	dừng lại
store	cửa hàng
store	cửa hàng
storm	bão táp
story	câu chuyện
straight	thẳng
straight	thẳng
straight	thẳng
strain	sự căng thẳng
strange	kỳ lạ
strange	lạ
stranger	lạ
strategic	chiến lược
strategy	chiến lược
stream	suối
street	đường phố
street	đường phố
strength	sức mạnh
strengthen	tăng cường
stress	nhấn mạnh
stress	nhấn mạnh
stretch	căng ra
stretch	căng ra
strict	nghiêm ngặt
strike	đình công
strike	đình công
strike	đình công
string	chuỗi
strip	dải
strip	dải
stroke	cú đánh
strong	mạnh
strong	mạnh mẽ
strongly	mạnh mẽ
structure	kết cấu
struggle	đấu tranh
struggle	đấu tranh
struggle	cuộc tranh đấu
student	sinh viên
studio	studio
study	học
study	học
study	nghiên cứu
stuff	đồ đạc
stupid	ngốc nghếch
stupid	ngu ngốc
style	Phong cách
subject	môn học
subject	Tiêu đề
subject	vấn đề
submit	đệ trình
substance	vật chất
substantial	đáng kể
substantial	đáng kể
substitute	thay thế
succeed	thành công
succeed	thành công
success	sự thành công
successful	thành công
successful	thành công
successfully	thành công
such	như là
such	như là
such	như vậy
suck	hút
sudden	đột nhiên
sudden	đột ngột
suddenly	đột ngột
suffer	đau khổ
suffer	bị
sufficient	đủ
sugar	đường
suggest	đề nghị
suggest	đề nghị
suggestion	gợi ý
suicide	tự tử
suit	bộ đồ
suit	bộ đồ
suitable	phù hợp
sum	tổng số
summer	mùa hè
summon	gọi
sun	mặt trời
super	siêu
super	siêu
supervise	giám sát
supplement	phần bổ sung
supply	cung cấp
supply	cung cấp
supply	cung cấp
support	ủng hộ
support	ủng hộ
support	ủng hộ
supporter	người ủng hộ
suppose	giả sử
suppose	giả sử
supposed	giả định
suppress	đàn áp
sure	chắc chắn rồi
sure	chắc chắn rồi
sure	chắc chắn
surely	chắc chắn
surface	bề mặt
surgery	phẫu thuật
surprise	sự ngạc nhiên
surprise	sự ngạc nhiên
surprised	ngạc nhiên
surprising	thật ngạc nhiên
surround	vây quanh
surround	surround
survey	khảo sát
survival	Sự sống còn
survive	tồn tại
survive	sống sót
suspect	nghi ngờ
suspect	nghi ngờ
suspend	đình chỉ
suspicious	đáng ngờ
sustain	chịu được
swallow	nuốt
swear	thề
sweep	quét
sweep	quét
sweet	ngọt
sweet	ngọt ngào
swim	bơi
swim	bơi
swimming	bơi
swing	lung lay
swing	lung lay
switch	công tắc điện
switch	công tắc
symbol	ký hiệu
symptom	triệu chứng
system	hệ thống
table	bàn
tablespoon	muỗng canh
tackle	giải quyết
take	lấy
take	lấy
tale	câu chuyện
talent	năng lực
talk	nói chuyện
talk	nói chuyện
talk	nói chuyện
tall	cao
tall	cao
tank	xe tăng
tap	gõ
tap	vòi nước
tape	băng
target	Mục tiêu
target	Mục tiêu
target	mục tiêu
task	bài tập
taste	nếm thử
taste	nếm thử
taste	mùi vị
tax	Thuế
tax	thuế
tea	trà
teach	dạy
teacher	giáo viên
teaching	giảng bài
team	đội
tear	nước mắt
tear	nước mắt
tear	xé rách
teaspoon	muỗng cà phê
technical	kỹ thuật
technical	kỹ thuật
technique	kỹ thuật
technology	Công nghệ
teen	thiếu niên
teenager	thiếu niên
telephone	Điện thoại
telephone	điện thoại
telescope	kính viễn vọng
television	tivi
tell	nói
temperature	nhiệt độ
temporary	tạm thời
tempt	dụ dổ
ten	mười
tend	có xu hướng
tend	có xu hướng
tension	căng thẳng
term	kỳ hạn
term	kỳ hạn
terms	điều kiện
terrible	khủng khiếp
terrible	khủng khiếp
territory	lãnh thổ
terror	khủng bố
terrorism	khủng bố
terrorist	khủng bố
test	thử nghiệm
test	thử nghiệm
test	thử
testify	làm chứng
testimony	lời khai
testing	thử nghiệm
text	bản văn
than	hơn
than	hơn
thank	cảm tạ
thank	cảm tạ
thanks	cảm ơn
that	cái đó
that	cái đó
that	cái đó
that	mà
the	các
theater	rạp hát
their	họ
them	họ
theme	chủ đề
themselves	bản thân họ
then	sau đó
theory	lý thuyết
therapy	trị liệu
there	ở đó
there	ở đó
therefore	vì thế
these	những
these	các
they	họ
thick	dày
thick	dày
thin	gầy
thin	mỏng
thing	Điều
think	suy nghĩ
think	nghĩ
think	nghĩ
thinking	Suy nghĩ
third	thứ ba
thirty	ba mươi
this	điều này
this	này
those	những, cái đó
though	Tuy nhiên
though	Tuy nhiên
thought	nghĩ
thousand	nghìn
threat	mối đe dọa
threaten	hăm dọa
threaten	hăm dọa
three	số ba
throat	họng
through	xuyên qua
through	xuyên qua
throughout	khắp
throw	ném
throw	ném
thrust	đẩy
thus	do đó
ticket	vé
tie	cà vạt
tie	cà vạt
tie	tie
tight	chặt chẽ
tight	chặt chẽ
tighten	thắt chặt
time	thời gian
time	thời gian
time	thời gian
tiny	nhỏ bé
tiny	nhỏ
tip	tiền boa
tip	đầu
tire	lốp xe
tired	mệt mỏi
tissue	mô
title	chức vụ
to	đến
to	đến
today	hôm nay
together	cùng với nhau
tomato	cà chua
tomorrow	Ngày mai
tone	tấn
tongue	lưỡi
tonight	tối nay
too	quá
tool	dụng cụ
tooth	răng
top	hàng đầu
top	hàng đầu
top	hàng đầu
top	đầu
top	đỉnh
topic	đề tài
toss	quăng
toss	quăng
total	toàn bộ
total	toàn bộ
total	tổng số
totally	hoàn toàn
touch	chạm
touch	chạm
touch	chạm
tough	khó khăn
tough	khó khăn
tour	chuyến du lịch
tour	chuyến du lịch
tourist	du lịch
tournament	giải đấu
toward	đối với
towards	về hướng
tower	Tháp
town	thị trấn
toy	đồ chơi
trace	dấu vết
track	theo dõi
track	theo dõi
trade	buôn bán
trade	buôn bán
trade	buôn bán
tradition	truyền thống
traditional	truyên thông
traditional	truyền thống
traffic	giao thông
tragedy	bi kịch
trail	đường mòn
train	xe lửa
train	xe lửa
train	xe lửa
training	đào tạo
training	đào tạo
transfer	chuyển khoản
transfer	chuyển khoản
transfer	chuyển nhượng
transform	biến đổi
transform	biến đổi
transition	quá trình chuyển đổi
translate	dịch
translate	dịch
transmit	chuyển giao
transport	giao thông vận tải
transportation	vận chuyển
trap	bẩy
travel	du lịch
travel	du lịch
travel	đi du lịch
treat	đãi
treat	đãi
treatment	điều trị
treaty	Hiệp ước
tree	cây
tremble	rung rinh
tremendous	to lớn
trend	khuynh hướng
trial	thử nghiệm
trick	lừa
trip	chuyến đi
troop (PL)	quân (PL)
trouble	rắc rối
truck	xe tải
truly	thực sự
trust	Lòng tin
trust	Lòng tin
trust	lòng tin
truth	sự thật
try	thử
try	thử
tube	ống
tuck	xếp nếp
turn	xoay
turn	xoay
turn	xoay
twenty	hai mươi
twice	hai lần
twin	đôi
twist	xoắn
two	hai
type	kiểu
typical	điển hình
typical	điển hình
typically	thường
từ tục nên xóa	quái
ugly	xấu xí
ultimate	tối hậu
ultimately	cuối cùng
unable	không thể
unable	không thể
under	Dưới
under	Dưới
undergo	trải qua
underline	nhấn mạnh
undermine	phá hoại
understand	hiểu không
understand	hiểu
understanding	hiểu biết
undertake	đảm đương
unfair	không công bằng
unfortunately	không may
unhappy	không hài lòng
union	liên hiệp
unique	độc nhất
unique	độc đáo
unit	đơn vị
unite	đoàn kết
united	thống nhất
universal	phổ cập
universe	vũ trụ
university	trường đại học
unknown	không xác định
unless	trừ khi
unlike	không giống
unlikely	không chắc
unlikely	không
until	cho đến
until	cho đến
unusual	bất thường
unusual	bất thường
up	lên
up	lên
update	cập nhật
upon	trên
upper	phía trên
upper	trên
upset	khó chịu
upset	khó chịu
upstairs	trên lầu
urban	đô thị
urge	thúc giục
urge	thúc giục
us	chúng tôi
use	sử dụng
use	sử dụng
use	dùng
used	đã sử dụng
used	được sử dụng
useful	hữu ích
useful	hữu ích
user	người dùng
usual	thường lệ
usual	thông thường
usually	thông thường
utility	tiện ích
vacation	kỳ nghỉ
valuable	quý giá
valuable	có giá trị
value	giá trị
value	giá trị
vanish	biến mất
variable	biến
variety	đa dạng
various	nhiều
various	khác nhau
vary	thay đổi
vary	khác nhau
vast	rộng lớn
vast	lớn
vegetable	rau
vegetable	rau
vehicle	phương tiện
version	phiên bản
very	rất
very	rất
veteran	cựu chiến binh
via	thông qua
victim	nạn nhân
victory	chiến thắng
video	video
view	lượt xem
view	lượt xem
view	quang cảnh
viewer	người xem
village	làng
violate	xâm phạm
violation	sự vi phạm
violence	bạo lực
violent	hung bạo
virtually	hầu như
virus	virus
visible	có thể nhìn thấy
visible	có thể nhìn thấy
vision	tầm nhìn
visit	chuyến thăm
visit	chuyến thăm
visit	lần
visitor	khách thăm quan
visual	trực quan
visual	hình ảnh
vital	quan trọng
voice	tiếng nói
voice	tiếng nói
volume	âm lượng
volunteer	Tình nguyện
vote	bỏ phiếu
vote	bỏ phiếu
vote	bỏ phiếu
voter	cử tri
vs	vs
wage	tiền lương
wait	chờ đợi
wait	đợi
wake	đánh thức
walk	đi bộ
walk	đi bộ
walk	đi bộ
wall	Tường
wander	đi lang thang
want	muốn
want	muốn
war	chiến tranh
warm	ấm áp
warm	ấm áp
warm	nóng
warn	cảnh báo
warn	cảnh báo
warning	cảnh báo
wash	rửa
wash	rửa
waste	chất thải
waste	chất thải
waste	chất thải
watch	đồng hồ đeo tay
watch	đồng hồ đeo tay
watch	xem
water	Nước
wave	làn sóng
wave	làn sóng
way	đường
we	chúng tôi
weak	Yếu
weak	yếu
weaken	suy yếu
wealth	sự giàu có
weapon	vũ khí
wear	mặc
wear	dùng
weather	thời tiết
wedding	lễ cưới
week	tuần
weekend	ngày cuối tuần
weekly	hàng tuần
weigh	cân
weigh	cân
weight	cân nặng
weird	lạ
welcome	chào mừng
welcome	hoan nghênh
welfare	phúc lợi
well	tốt
well	tốt
west	hướng Tây
west	tây
western	miền Tây
western	tây
wet	ướt
what	gì
what	những gì
whatever	bất cứ điều gì
wheel	bánh xe
when	khi nào
when	khi nào
whenever	bất cứ khi nào
where	Ở đâu
where	Ở đâu
whereas	trong khi
whether	liệu
which	mà
which	mà
while	trong khi
while	trong khi
whisper	thì thầm
whisper	thì thầm
white	trắng
white	trắng
white	trắng
who	người nào
whole	toàn thể
whole	toàn thể
whole	toàn bộ
whom	ai
whose	có
whose	có
why	tại sao
wide	rộng
wide	rộng
widely	rộng rãi
widen	mở rộng
wife	người vợ
wild	hoang dã
wild	hoang dã
will	sẽ
will	sẽ
willing	sẵn lòng
willing	sẵn sàng
win	thắng lợi
win	thắng lợi
wind	gió
wind	gió
wind	gió
window	cửa sổ
wine	rượu nho
wine	rượu vang
wing	canh
winner	người chiến thắng
winter	mùa đông
winter	mùa đông
wipe	lau
wipe	lau
wire	dây điện
wise	khôn ngoan
wish	muốn
wish	muốn
with	với
withdraw	thu hồi
withdraw	rút
within	bên trong
without	không có
witness	nhân chứng
witness	làm chứng
woman	đàn bà
wonder	ngạc nhiên
wonder	ngạc nhiên
wonder	ngạc nhiên
wonderful	Tuyệt vời
wonderful	tuyệt vời
wood	gỗ
wooden	bằng gỗ
wooden	gỗ
word	từ
work	công việc
work	công việc
work	công việc
work	làm việc
worker	công nhân
working	đang làm việc
working	làm việc
works	công trinh
world	thế giới
worry	lo
worry	lo
worth	giá trị
worth	giá trị
worth	giá trị
would	sẽ
wrap	bọc
wrap	bọc
write	viết
write	viết
writer	nhà văn
writing	viết
wrong	sai rồi
wrong	sai
yard	sân
yeah	yeah
year	năm
yell	hét lên
yellow	màu vàng
yellow	vàng
yes	Vâng
yesterday	hôm qua
yet	chưa
yield	năng suất
yield	năng suất
you	bạn
young	trẻ
young	trẻ
your	của bạn
yourself	bản thân bạn
youth	thiếu niên
zone	vùng
